,metropolitan,greater-manchester,west-yorkshire,west-midlands,south-yorkshire,hampshire,lancashire,thames-valley,kent,avon-and-somerset
metropolitan,1.0,0.37,0.56,0.82,0.66,0.78,0.8,0.82,0.48,0.82
greater-manchester,0.37,1.0,0.87,0.74,0.81,0.75,0.66,0.71,0.89,0.67
west-yorkshire,0.56,0.87,1.0,0.78,0.81,0.82,0.72,0.77,0.81,0.8
west-midlands,0.82,0.74,0.78,1.0,0.87,0.88,0.89,0.93,0.8,0.88
south-yorkshire,0.66,0.81,0.81,0.87,1.0,0.86,0.75,0.87,0.8,0.8
hampshire,0.78,0.75,0.82,0.88,0.86,1.0,0.86,0.93,0.77,0.91
lancashire,0.8,0.66,0.72,0.89,0.75,0.86,1.0,0.86,0.78,0.89
thames-valley,0.82,0.71,0.77,0.93,0.87,0.93,0.86,1.0,0.75,0.91
kent,0.48,0.89,0.81,0.8,0.8,0.77,0.78,0.75,1.0,0.74
avon-and-somerset,0.82,0.67,0.8,0.88,0.8,0.91,0.89,0.91,0.74,1.0
