377441,54158,55813,72424,82615,7510,97304,99004,73892,26765,562,155992,52247,6865,2367,15032
171236,16635,20042,34676,36456,4633,32066,35651,22226,7276,2135,47514,8167,2249,1396,4404
187566,17887,26602,32964,39799,3241,51180,44391,27830,13291,2945,58627,11723,3992,1599,17966
272510,18137,32240,30007,39970,1793,41639,54245,37828,13507,3006,70720,25933,3404,1348,6311
308671,17592,21420,24139,35762,2325,38550,54799,38578,10721,2522,53574,8731,1912,1277,4967
138817,12757,14858,9244,14850,472,19499,33514,16468,8099,2162,37067,6883,691,789,1636
324798,27742,32487,40398,48965,3996,47181,55423,36838,16308,2703,59880,6104,2836,1835,4632
340709,48319,43956,37742,50323,2913,73756,92312,47102,26526,9322,135087,25992,4161,2893,4625
205763,16119,20593,28007,33922,1493,41976,40976,24895,7998,1939,50595,5950,2776,1038,5910
202670,12064,19249,21796,30242,908,29986,48309,22064,7923,2243,57282,10727,1135,1075,2694
137476,9267,11298,7226,10296,273,16865,23361,9864,16590,2290,31970,4434,369,637,850
376751,45101,50081,89525,95030,8046,89714,94266,60809,22259,6501,148579,29202,7421,5543,11088
175338,9600,20014,23289,33939,1828,29224,30064,21105,7560,1555,32533,4007,1511,740,4624
849924,80503,113037,165582,207491,30144,169173,210342,100998,43279,13806,288669,92851,27364,7654,21220
181774,7053,19365,25356,27837,1224,32415,45297,21911,12407,710,46217,10505,1265,720,1962
495504,49885,64904,63362,81028,5482,88607,114058,73828,30248,8348,132982,48661,6369,4287,17557
229591,23889,39808,45377,45368,3897,54233,56246,40065,24708,472,74385,18239,5519,7407,6507
148969,30387,40489,38386,68564,4281,55907,72003,47111,12183,4927,89181,14451,2666,1750,10718
362747,44433,57715,72448,85742,7444,98794,119139,68780,20431,3998,197672,24613,4854,2820,8546
588884,45394,49655,62909,84124,4543,92560,108542,52610,19595,4952,135320,13161,5207,2027,9630
157084,29035,35869,53618,57071,4989,58391,59353,37911,11366,4781,69448,12016,4405,2008,9822
163913,16189,23803,22318,37019,1407,34957,35649,28422,10125,2907,37092,6200,1438,1459,5605
404454,27784,50744,64293,83277,8481,68290,106892,59683,52735,6844,119406,25396,8925,3307,9313
2001050,327934,394411,644707,569501,202692,831667,381926,263405,258936,50433,880926,190686,181394,20551,88166
191651,21171,24604,17435,26884,1845,36707,46081,25502,13951,2240,72268,15829,2108,1442,6333
224475,21754,27746,35838,42319,4907,36080,46597,29030,10215,2051,64922,5685,2967,1762,4280
528177,25415,48234,43416,58480,3698,77431,109209,67432,25033,5764,125232,40013,5351,4150,9460
169996,21068,20368,15289,29135,1035,31193,45630,24961,8939,3409,60874,7255,1042,1021,2517
234754,15453,20287,17739,29246,1047,35339,37030,25680,11590,2272,45390,6327,2344,1019,6394
278504,31670,41260,51698,60653,7103,65801,68887,49518,20804,3952,98390,15039,5029,3306,8842
310023,34239,46439,64674,61441,2909,76128,87526,55706,27841,7045,125128,33625,6288,2196,9838
597473,28104,51653,84871,103091,7796,95422,111384,68325,21085,4339,119199,23944,8510,3973,6368
237177,32409,34857,34313,41873,4005,55421,67493,38350,16376,3877,114656,13125,2312,2304,4772
150965,20282,26132,24851,30306,1862,34314,43868,23922,10311,4086,60220,14120,1972,1407,5656
248687,24828,35380,36327,47234,2121,54021,57214,25768,17642,3479,75031,21596,1841,1642,5572
384154,39809,57221,52136,60199,5196,94070,86739,52872,24681,5566,129940,30380,8791,4265,11302
290034,50356,71569,94142,97529,8182,145529,114882,91537,36755,9092,140773,20909,16273,4869,26410
131126,10691,15978,28422,29612,1901,31652,27883,17246,6609,1442,40917,5565,1522,1000,3392
349593,30902,37901,43117,55582,3298,58102,61639,40350,17101,4194,105707,14036,2777,2298,5329
523416,78885,97158,186975,174528,42013,137694,160926,107396,39586,10651,221769,38810,14140,6692,15644
573900,58899,100670,157970,190842,15603,179361,176457,97300,37314,9754,249276,54259,19766,5585,11376
149708,14036,17472,22294,28852,1390,31350,37384,22096,7357,1447,52496,8534,1726,1006,3911
